Date,Temperature (C),Weather,Wind (km/h),Humidity (%),Barometer (mbar),Visibility (km)
Privacy-1-13 22:53,8,Clear.,9,69,1021,16
Privacy-1-13 23:53,7,Clear.,6,76,1021,16
Privacy-1-15 00:53,8,Fog.,0,86,1025,6
Privacy-1-15 01:53,7,Fog.,6,90,1025,6
Privacy-1-15 02:53,8,Fog.,0,89,1025,6
Privacy-1-15 03:53,7,Fog.,6,93,1026,6
Privacy-1-15 04:53,7,Fog.,0,89,1025,5
Privacy-1-15 05:53,7,Fog.,0,93,1025,3
Privacy-1-15 06:53,7,Fog.,0,93,1026,3
Privacy-1-15 07:53,5,Fog.,0,96,1026,1
Privacy-1-15 08:53,8,Fog.,0,97,1026,4
Privacy-1-15 09:53,11,Mostly cloudy.,9,83,1027,5
Privacy-1-15 10:53,11,Fog.,7,86,1027,5
Privacy-1-15 11:53,12,Mostly cloudy.,7,80,1026,5
Privacy-1-15 12:53,12,Mostly cloudy.,9,80,1025,5
Privacy-1-15 13:53,13,Partly sunny.,15,74,1025,5
Privacy-1-15 14:53,14,Mostly cloudy.,15,67,1025,10
Privacy-1-15 15:53,13,Mostly cloudy.,9,80,1025,8
Privacy-1-15 16:53,13,Mostly cloudy.,6,77,1025,10
Privacy-1-15 17:53,12,Mostly cloudy.,9,83,1024,8
Privacy-1-15 18:53,12,Mostly cloudy.,7,74,1025,10
Privacy-1-15 19:53,12,Mostly cloudy.,0,77,1024,10
Privacy-1-15 20:53,12,Mostly cloudy.,15,80,1025,8
Privacy-1-15 21:53,12,Mostly cloudy.,13,77,1025,8
Privacy-1-15 22:53,11,Partly cloudy.,9,80,1025,8
Privacy-1-15 23:53,11,Passing clouds.,0,86,1025,8
Privacy-1-15 00:53,8,Fog.,0,86,1025,6
Privacy-1-15 01:53,7,Fog.,6,90,1025,6
Privacy-1-15 02:53,8,Fog.,0,89,1025,6
Privacy-1-15 03:53,7,Fog.,6,93,1026,6
Privacy-1-15 04:53,7,Fog.,0,89,1025,5
Privacy-1-15 05:53,7,Fog.,0,93,1025,3
Privacy-1-15 06:53,7,Fog.,0,93,1026,3
Privacy-1-15 07:53,5,Fog.,0,96,1026,1
Privacy-1-15 08:53,8,Fog.,0,97,1026,4
Privacy-1-15 09:53,11,Mostly cloudy.,9,83,1027,5
Privacy-1-15 10:53,11,Fog.,7,86,1027,5
Privacy-1-15 11:53,12,Mostly cloudy.,7,80,1026,5
Privacy-1-15 12:53,12,Mostly cloudy.,9,80,1025,5
Privacy-1-15 13:53,13,Partly sunny.,15,74,1025,5
Privacy-1-15 14:53,14,Mostly cloudy.,15,67,1025,10
Privacy-1-15 15:53,13,Mostly cloudy.,9,80,1025,8
Privacy-1-15 16:53,13,Mostly cloudy.,6,77,1025,10
Privacy-1-15 17:53,12,Mostly cloudy.,9,83,1024,8
Privacy-1-15 18:53,12,Mostly cloudy.,7,74,1025,10
Privacy-1-15 19:53,12,Mostly cloudy.,0,77,1024,10
Privacy-1-15 20:53,12,Mostly cloudy.,15,80,1025,8
Privacy-1-15 21:53,12,Mostly cloudy.,13,77,1025,8
Privacy-1-15 22:53,11,Partly cloudy.,9,80,1025,8
Privacy-1-15 23:53,11,Passing clouds.,0,86,1025,8
Privacy-1-17 00:53,11,Passing clouds.,9,89,1025,13
Privacy-1-17 01:53,11,Passing clouds.,11,86,1025,13
Privacy-1-17 02:53,11,Partly cloudy.,11,86,1025,13
Privacy-1-17 03:53,11,Passing clouds.,11,86,1025,13
Privacy-1-17 04:53,11,Passing clouds.,11,86,1025,13
Privacy-1-17 05:53,10,Passing clouds.,11,89,1024,13
Privacy-1-17 06:53,9,Partly cloudy.,7,90,1025,11
Privacy-1-17 07:53,9,Fog.,0,96,1025,8
Privacy-1-17 08:53,12,Scattered clouds.,0,86,1025,11
Privacy-1-17 09:53,13,Scattered clouds.,7,80,1026,13
Privacy-1-17 10:53,13,Broken clouds.,13,77,1026,13
Privacy-1-17 11:53,13,Partly sunny.,11,80,1025,8
Privacy-1-17 12:53,12,Partly sunny.,7,83,1024,6
Privacy-1-17 13:53,13,Partly sunny.,9,77,1023,11
Privacy-1-17 14:53,14,Partly sunny.,6,74,1023,13
Privacy-1-17 15:53,14,Partly sunny.,9,78,1023,13
Privacy-1-17 16:53,13,Partly sunny.,17,81,1024,14
Privacy-1-17 17:53,13,Passing clouds.,9,83,1024,16
Privacy-1-17 18:53,13,Overcast.,0,83,1024,13
Privacy-1-17 19:53,12,Fog.,9,89,1025,10
Privacy-1-17 20:53,12,Fog.,6,86,1025,10
Privacy-1-17 21:53,11,Fog.,0,93,1025,6
Privacy-1-17 22:53,11,Fog.,6,89,1026,6
Privacy-1-17 23:53,12,Fog.,0,93,1026,6
Privacy-1-18 00:53,12,Fog.,7,89,1025,8
Privacy-1-18 01:53,11,Fog.,6,93,1025,8
Privacy-1-18 02:53,12,Fog.,0,89,1025,8
Privacy-1-18 03:53,12,Fog.,7,89,1025,6
Privacy-1-18 04:53,11,Fog.,0,89,1025,6
Privacy-1-18 05:53,11,Fog.,6,92,1025,8
Privacy-1-18 06:53,11,Fog.,0,92,1025,4
Privacy-1-18 07:53,11,Fog.,0,97,1026,3
Privacy-1-18 08:04,11,Fog.,0,94,1026,3
Privacy-1-18 08:53,12,Fog.,0,93,1026,1
Privacy-1-18 09:53,12,Fog.,0,93,1027,1
Privacy-1-18 10:53,12,Fog.,7,96,1027,0
Privacy-1-18 11:53,12,Fog.,7,93,1026,1
Privacy-1-18 12:53,13,Fog.,15,90,1025,2
Privacy-1-18 13:53,14,Scattered clouds.,20,87,1025,13
Privacy-1-18 14:53,16,Scattered clouds.,17,80,1025,16
Privacy-1-18 15:53,18,Scattered clouds.,11,73,1024,16
Privacy-1-18 16:53,14,Scattered clouds.,17,84,1025,16
Privacy-1-18 17:53,14,Passing clouds.,9,87,1025,16
Privacy-1-18 18:53,14,Passing clouds.,9,90,1025,16
Privacy-1-18 19:53,13,Passing clouds.,7,90,1025,16
Privacy-1-18 20:53,13,Passing clouds.,0,93,1025,16
Privacy-1-18 21:53,12,Passing clouds.,0,93,1025,16
